battle_id,timestamp,preset_id,enemy_comp,player_class,player_count,turn_count,outcome,damage_dealt,damage_taken,mana_avg,cards_played,items_used,difficulty_score,notes
battle_-110990,2026-05-20T15:33:26Z,Sweep_Boss_Lv1_Beleth_ridge-two,Beleth,Cleric,1,5,WIN,150,35,2.7,10,0,4,[ridge-two Play 1] Beleth Boss 戰。ridge-two 雙重聖盾完全抵消 Boss 蓄力一擊。
battle_-120296,2026-05-20T15:33:26Z,Sweep_Boss_Lv1_Beleth_ridge-two,Beleth,Cleric,1,6,WIN,155,42,2.8,14,0,4,[ridge-two Play 2] 雖然 Boss 召喚了小惡魔，但雷光風暴 AOE 清場效率極佳。
battle_-953039,2026-05-20T15:33:26Z,Sweep_Boss_Lv1_Beleth_ridge-two,Beleth,Cleric,1,5,WIN,148,20,2.9,14,0,4,[ridge-two Play 3] 淨化卡成功移除 Boss 施加的詛咒，輕鬆點殺。
battle_-194011,2026-05-20T15:33:26Z,Sweep_Boss_Lv1_Beleth_ridge-two,Beleth,Cleric,1,4,LOSE,90,60,2.5,8,0,4,[ridge-two Play 4] 發牌員惡意！起手全是大卡，無聖盾被 Boss 連續爆擊致死。
battle_-718232,2026-05-20T15:33:26Z,Sweep_Boss_Lv1_Beleth_ridge-two,Beleth,Cleric,1,6,WIN,160,30,2.8,13,0,3,[ridge-two Play 5] T6 聖光懲戒斬殺。
battle_-796030,2026-05-20T15:33:26Z,Sweep_Forest_Boss_Lv1_CentaurKnight_ridge-two,CentaurKnight,Mage,1,5,WIN,135,22,2.6,16,0,2,[ridge-two Play 1] 衝擊波 X-stacking 完美清掃前排 Centaur。
battle_-730024,2026-05-20T15:33:26Z,Sweep_Forest_Boss_Lv1_CentaurKnight_ridge-two,CentaurKnight,Mage,1,6,WIN,140,29,2.7,13,0,5,[ridge-two Play 2] Mage 的多重祕法飛彈 (Chant) 輸出穩定。
battle_-412668,2026-05-20T15:33:26Z,Sweep_Forest_Boss_Lv1_CentaurKnight_ridge-two,CentaurKnight,Mage,1,5,WIN,138,18,2.8,15,0,2,[ridge-two Play 3] 利用滯留時間 (Dwell-time) 疊加雷電充能，雷擊直接秒殺。
battle_-312891,2026-05-20T15:33:26Z,Sweep_Forest_Boss_Lv1_CentaurKnight_ridge-two,CentaurKnight,Mage,1,6,WIN,142,35,2.5,8,0,4,[ridge-two Play 4] 雖然 CentaurKnight 的衝鋒造成了擊退，但沒能阻擋法術連發。
battle_-422684,2026-05-20T15:33:26Z,Sweep_Forest_Boss_Lv1_CentaurKnight_ridge-two,CentaurKnight,Mage,1,5,WIN,130,10,2.7,13,0,4,[ridge-two Play 5] 極限風箏流過關。
battle_-608343,2026-05-20T15:33:26Z,Sweep_Elite_Lv5_GoblinChef_calli,GoblinChef,Warrior,1,5,LOSE,120,120,2.3,13,0,4,[calli Play 1] calli 上場！被 GoblinChef 的『極限爆炒』砸中，直接暴斃！Guuuuh!
battle_-160125,2026-05-20T15:33:26Z,Sweep_Elite_Lv5_GoblinChef_calli,GoblinChef,Warrior,1,8,WIN,250,98,2.5,13,0,4,[calli Play 2] 死神不服輸！用死神鐮刀進行殘血背水一戰，T8 艱難斬殺！Memento Mori!
battle_-118211,2026-05-20T15:33:26Z,Sweep_Elite_Lv5_GoblinChef_calli,GoblinChef,Warrior,1,4,LOSE,80,110,2.2,8,0,3,[calli Play 3] Chef 連續扔出三盤『毒芹濃湯』，中毒狀態疊加致死。
battle_-349836,2026-05-20T15:33:26Z,Sweep_Elite_Lv5_GoblinChef_calli,GoblinChef,Warrior,1,7,WIN,245,75,2.6,12,0,5,[calli Play 4] 怒氣值積滿，用崩山地裂擊打斷了 Boss 的烹飪，反敗為勝！
battle_-756047,2026-05-20T15:33:26Z,Sweep_Elite_Lv5_GoblinChef_calli,GoblinChef,Warrior,1,6,LOSE,150,115,2.4,11,0,3,[calli Play 5] 殘血被 Boss 的香料炸彈炸飛。這怪太硬了！
